"Color preset for the card form.","Color preset for the card form."
"Customer returned from TBC payment page. Status: %1","Customer returned from TBC payment page. Status: %1"
Dark,Dark
Debug,Debug
Default,Default
"Default (No preset)","Default (No preset)"
Description,Description
"Embedded Card Form","Embedded Card Form"
"Enable Apple Pay / Google Pay","Enable Apple Pay / Google Pay"
"Enable Split Payments","Enable Split Payments"
Enabled,Enabled
"Euphoric Pink","Euphoric Pink"
"Extra attempts for <strong>idempotent status checks only</strong>
                        (e.g. the reconciler) on transport failure. Capture, void, settlement and refund
                        are NEVER retried. Default: 1. Clamped 0-3.","Extra attempts for <strong>idempotent status checks only</strong>
                        (e.g. the reconciler) on transport failure. Capture, void, settlement and refund
                        are NEVER retried. Default: 1. Clamped 0-3."
Fee,Fee
"Fixed Amount","Fixed Amount"
"Flitt API returned HTTP %1","Flitt API returned HTTP %1"
"Flitt API returned HTTP 500","Flitt API returned HTTP 500"
"Flitt embed card form theme.","Flitt embed card form theme."
"Flitt never received this order; cancelled by reconciler after payment lifetime (%1s) expired. flitt_order_id: %2","Flitt never received this order; cancelled by reconciler after payment lifetime (%1s) expired. flitt_order_id: %2"
"Flitt payment status: %1 | Payment ID: %2 | Card: %3","Flitt payment status: %1 | Payment ID: %2 | Card: %3"
"Flitt token endpoint unreachable; reconciler will retry. Admin: investigate Flitt or cancel manually if persistent.","Flitt token endpoint unreachable; reconciler will retry. Admin: investigate Flitt or cancel manually if persistent."
"Funds held by TBC Bank (manual status check). Payment ID: %1. Use ""Capture Payment"" to charge.","Funds held by TBC Bank (manual status check). Payment ID: %1. Use ""Capture Payment"" to charge."
"Funds held by TBC Bank (preauth). Payment ID: %1. Use ""Capture Payment"" button to charge.","Funds held by TBC Bank (preauth). Payment ID: %1. Use ""Capture Payment"" button to charge."
"Funds held by TBC Bank (redirect). Payment ID: %1. Use ""Capture Payment"" to charge.","Funds held by TBC Bank (redirect). Payment ID: %1. Use ""Capture Payment"" to charge."
"Funds held by TBC Bank - preauth (reconciled by cron). Payment ID: %1. Use ""Capture Payment"" button to charge.","Funds held by TBC Bank - preauth (reconciled by cron). Payment ID: %1. Use ""Capture Payment"" button to charge."
"Funds held by TBC Bank. Payment ID: %1. Use ""Capture Payment"" to charge.","Funds held by TBC Bank. Payment ID: %1. Use ""Capture Payment"" to charge."
"Heated Steel","Heated Steel"
"Hex color code (e.g. <strong>#00A3E0</strong>). Applied to the branding wrapper and the card form primary color. Leave empty to use the default theme preset color.","Hex color code (e.g. <strong>#00A3E0</strong>). Applied to the branding wrapper and the card form primary color. Leave empty to use the default theme preset color."
"Hides Flitt title, links, and security messages from the embedded card form for a cleaner look.","Hides Flitt title, links, and security messages from the embedded card form for a cleaner look."
"How long the payment session stays valid. Default: 3600 (1 hour). Max: 86400 (24 hours).","How long the payment session stays valid. Default: 3600 (1 hour). Max: 86400 (24 hours)."
"How many reconcile passes the pending-order cron makes on a stuck order
                        before moving it to a terminal ""needs manual review"" outcome (so the backlog can drain).
                        An order older than 2x the Payment Lifetime is also made terminal. Default: 12. Clamped 1-50.","How many reconcile passes the pending-order cron makes on a stuck order
                        before moving it to a terminal ""needs manual review"" outcome (so the backlog can drain).
                        An order older than 2x the Payment Lifetime is also made terminal. Default: 12. Clamped 1-50."
"How many times the settlement-recovery cron re-drives a FAILED split
                        settlement before it stops and alerts ops. Each attempt uses a distinct settlement
                        order_id. Default: 6. Clamped 1-20.","How many times the settlement-recovery cron re-drives a FAILED split
                        settlement before it stops and alerts ops. Each attempt uses a distinct settlement
                        order_id. Default: 6. Clamped 1-20."
"Invalid payment method for this action.","Invalid payment method for this action."
"Invalid response from Flitt API","Invalid response from Flitt API"
"JSON object to override any Flitt embed option. Example: {""show_email"": true, ""show_fee"": true, ""logo_url"": ""https://example.com/logo.png""}. See <a href=""https://docs.flitt.com/api/embedded-custom/"" target=""_blank"">Flitt docs</a>.","JSON object to override any Flitt embed option. Example: {""show_email"": true, ""show_fee"": true, ""logo_url"": ""https://example.com/logo.png""}. See <a href=""https://docs.flitt.com/api/embedded-custom/"" target=""_blank"">Flitt docs</a>."
Light,Light
"Loading secure payment form...","Loading secure payment form..."
"Magento Order %1, Store %2","Magento Order %1, Store %2"
"Masked Card","Masked Card"
"Max time to establish a connection to Flitt before giving up. Default: 5. Clamped 1-60.","Max time to establish a connection to Flitt before giving up. Default: 5. Clamped 1-60."
"Max time to wait for a full Flitt response once connected. Default: 30. Clamped 1-120.","Max time to wait for a full Flitt response once connected. Default: 30. Clamped 1-120."
"Merchant ID","Merchant ID"
"Missing order reference.","Missing order reference."
"Navy Shimmer","Navy Shimmer"
"No Flitt order ID found on this order.","No Flitt order ID found on this order."
"No Flitt order ID found.","No Flitt order ID found."
"No Flitt order ID.","No Flitt order ID."
"No active quote found.","No active quote found."
"No order found.","No order found."
"No values written (dry-run).","No values written (dry-run)."
"Nude Pink","Nude Pink"
"Optional comma- or whitespace-separated list of Flitt egress IPs
                        permitted to POST to the server-to-server callback endpoint. <strong>Leave EMPTY to allow
                        all source IPs</strong> (required if your stack sits behind a proxy/load balancer that does not
                        forward the real client IP). This is a defence-in-depth layer on top of signature validation,
                        not the primary gate. Default: the documented Flitt egress IPs
                        <code>54.154.216.60,3.75.125.89</code>.","Optional comma- or whitespace-separated list of Flitt egress IPs
                        permitted to POST to the server-to-server callback endpoint. <strong>Leave EMPTY to allow
                        all source IPs</strong> (required if your stack sits behind a proxy/load balancer that does not
                        forward the real client IP). This is a defence-in-depth layer on top of signature validation,
                        not the primary gate. Default: the documented Flitt egress IPs
                        <code>54.154.216.60,3.75.125.89</code>."
"Order %1","Order %1"
"Order Status","Order Status"
"Order cancelled after manual status check. Flitt status: %1","Order cancelled after manual status check. Flitt status: %1"
"Order could not be placed. Please try again.","Order could not be placed. Please try again."
"Order has been cancelled. You may retry payment.","Order has been cancelled. You may retry payment."
"Order has no payment record.","Order has no payment record."
"Order is not in a cancelable state.","Order is not in a cancelable state."
"Order is not in pending payment state.","Order is not in pending payment state."
"Order not found.","Order not found."
"Order not found. Please contact support.","Order not found. Please contact support."
"Order updated to processing. Payment captured.","Order updated to processing. Payment captured."
"Partial reversal by TBC Bank. Transaction ID: %1. Amount: %2 %3. Order state unchanged.","Partial reversal by TBC Bank. Transaction ID: %1. Amount: %2 %3. Order state unchanged."
"Password (Secret Key)","Password (Secret Key)"
"Payment %1. Order has been cancelled.","Payment %1. Order has been cancelled."
"Payment Action","Payment Action"
"Payment Description","Payment Description"
"Payment ID","Payment ID"
"Payment Lifetime (seconds)","Payment Lifetime (seconds)"
"Payment Logo URL","Payment Logo URL"
"Payment already captured","Payment already captured"
"Payment amount does not match the order total. Capture refused. Please reconcile this order manually.","Payment amount does not match the order total. Capture refused. Please reconcile this order manually."
"Payment approved by TBC Bank (manual status check). Payment ID: %1","Payment approved by TBC Bank (manual status check). Payment ID: %1"
"Payment approved by TBC Bank (reconciled by cron). Payment ID: %1","Payment approved by TBC Bank (reconciled by cron). Payment ID: %1"
"Payment approved by TBC Bank (redirect). Payment ID: %1","Payment approved by TBC Bank (redirect). Payment ID: %1"
"Payment approved by TBC Bank. Payment ID: %1","Payment approved by TBC Bank. Payment ID: %1"
"Payment captured by TBC Bank. Amount: %1 %2","Payment captured by TBC Bank. Amount: %1 %2"
"Payment could not be confirmed. Please try again or contact support.","Payment could not be confirmed. Please try again or contact support."
"Payment couldn't be completed. Please try again or contact support.","Payment couldn't be completed. Please try again or contact support."
"Payment couldn't be completed. Please try again.","Payment couldn't be completed. Please try again."
"Payment declined by TBC Bank (reconciled by cron). Reason: %1","Payment declined by TBC Bank (reconciled by cron). Reason: %1"
"Payment declined by TBC Bank. Reason: %1","Payment declined by TBC Bank. Reason: %1"
"Payment failed and we could not cancel your order automatically. Please contact support.","Payment failed and we could not cancel your order automatically. Please contact support."
"Payment failed and we could not reach our servers to cancel the order. Please contact support.","Payment failed and we could not reach our servers to cancel the order. Please contact support."
"Payment form not loaded.","Payment form not loaded."
"Payment fully reversed by TBC Bank. Transaction ID: %1. Order closed.","Payment fully reversed by TBC Bank. Transaction ID: %1. Order closed."
"Payment has been captured successfully.","Payment has been captured successfully."
"Payment has been voided and order cancelled.","Payment has been voided and order cancelled."
"Payment information not found. Please contact support.","Payment information not found. Please contact support."
"Payment initialization failed. Cancelling your order so you can retry...","Payment initialization failed. Cancelling your order so you can retry..."
"Payment initialization failed. Please try again.","Payment initialization failed. Please try again."
"Payment initialization failed. Your order has been cancelled — please try again.","Payment initialization failed. Your order has been cancelled — please try again."
"Payment not yet approved.","Payment not yet approved."
"Payment redirect initialization failed. Order cancelled so customer can retry.","Payment redirect initialization failed. Order cancelled so customer can retry."
"Payment reversed by TBC Bank before capture. Transaction ID: %1. Order cancelled.","Payment reversed by TBC Bank before capture. Transaction ID: %1. Order cancelled."
"Payment session expired at TBC Bank (reconciled by cron).","Payment session expired at TBC Bank (reconciled by cron)."
"Payment session expired at TBC Bank.","Payment session expired at TBC Bank."
"Payment settlement failed (retryable): %1","Payment settlement failed (retryable): %1"
"Payment settlement has been sent successfully.","Payment settlement has been sent successfully."
"Payment settlement sent to %1 receiver(s).","Payment settlement sent to %1 receiver(s)."
"Payment split","Payment split"
"Payment system configuration error. Please contact support.","Payment system configuration error. Please contact support."
"Payment system temporarily unavailable. Please try later.","Payment system temporarily unavailable. Please try later."
"Payment verification failed. Please contact support.","Payment verification failed. Please contact support."
"Payment voided by admin via Flitt reverse API. Status: %1. Order cancelled.","Payment voided by admin via Flitt reverse API. Status: %1. Order cancelled."
"Payment voided by admin. Order cancelled.","Payment voided by admin. Order cancelled."
"Payment was already captured.","Payment was already captured."
"Payment was declined.","Payment was declined."
"Payment was not completed. Please try again.","Payment was not completed. Please try again."
"Pending Reconcile Max Attempts","Pending Reconcile Max Attempts"
"Percentage (%)","Percentage (%)"
"Place Order","Place Order"
Plain,Plain
"Please try again.","Please try again."
"Pre-auth hold could not be released at the bank; order was still cancelled locally.","Pre-auth hold could not be released at the bank; order was still cancelled locally."
"Print the planned diff and exit without writing","Print the planned diff and exit without writing"
"Processing payment...","Processing payment..."
"Production API URL","Production API URL"
"Production Flitt merchant ID","Production Flitt merchant ID"
"Production Flitt password / secret key","Production Flitt password / secret key"
"Quote has no items or zero total.","Quote has no items or zero total."
RRN,RRN
"Receiver %1","Receiver %1"
"Redirect to Payment Page","Redirect to Payment Page"
"Response Code","Response Code"
"Sandbox API URL","Sandbox API URL"
"Sandbox Mode","Sandbox Mode"
"Settle Payment","Settle Payment"
"Settlement Recovery Max Attempts","Settlement Recovery Max Attempts"
"Settlement Status","Settlement Status"
"Settlement could not be completed after %1 attempts (cap %2). Manual intervention required.","Settlement could not be completed after %1 attempts (cap %2). Manual intervention required."
"Settlement failed: %1","Settlement failed: %1"
"Settlement for order %1","Settlement for order %1"
"Settlement was not processed. Check if split payments are enabled and receivers are configured.","Settlement was not processed. Check if split payments are enabled and receivers are configured."
"Short text displayed under the logo. Translatable via i18n CSV files.","Short text displayed under the logo. Translatable via i18n CSV files."
"Signature validation failed.","Signature validation failed."
"Signature validation failed. Order not updated.","Signature validation failed. Order not updated."
Silver,Silver
"Sort Order","Sort Order"
"Split Receivers","Split Receivers"
"Split order payments with other Flitt merchants. The full payment is collected by your main Merchant ID above, then distributed to receivers below.","Split order payments with other Flitt merchants. The full payment is collected by your main Merchant ID above, then distributed to receivers below."
"Split receiver ""%1"": Amount must be a positive number.","Split receiver ""%1"": Amount must be a positive number."
"Split receiver ""%1"": Percentage cannot exceed 100.","Split receiver ""%1"": Percentage cannot exceed 100."
"Split receiver in row ""%1"": Merchant ID is required.","Split receiver in row ""%1"": Merchant ID is required."
"Status Check Retries","Status Check Retries"
"Status check failed. See shubo_tbc_payment.log for details.","Status check failed. See shubo_tbc_payment.log for details."
"Strip Provider Branding","Strip Provider Branding"
"Stuck-pending or unsettled-approved backlog size at or above which the
                        reconciler crons emit an ERROR-level alert (forwarded to Sentry). Default: 50. Clamped 1-10000.","Stuck-pending or unsettled-approved backlog size at or above which the
                        reconciler crons emit an ERROR-level alert (forwarded to Sentry). Default: 50. Clamped 1-10000."
"System error. Please try again in a moment.","System error. Please try again in a moment."
"TBC Bank (Flitt)","TBC Bank (Flitt)"
"TBC cutover read-back verification FAILED for: %1. The persisted config does not match what was intended — do NOT take payments until this is resolved.","TBC cutover read-back verification FAILED for: %1. The persisted config does not match what was intended — do NOT take payments until this is resolved."
"TBC payment API URL is not configured.","TBC payment API URL is not configured."
"TBC payment gateway is not configured.","TBC payment gateway is not configured."
"TBC reconciler: order moved to manual review after %1 attempts (cap %2). Reason: %3. The reconciler will no longer retry this order.","TBC reconciler: order moved to manual review after %1 attempts (cap %2). Reason: %3. The reconciler will no longer retry this order."
"TBC sandbox_mode is already 0 (production). Re-run with --force to overwrite the production credentials.","TBC sandbox_mode is already 0 (production). Re-run with --force to overwrite the production credentials."
"TBC switched to production. Test card in prod is a real card — run the Playwright cutover-smoke spec now.","TBC switched to production. Test card in prod is a real card — run the Playwright cutover-smoke spec now."
"This order cannot be voided. Only an authorized (held) payment that has not been captured can be voided; capture has already happened or the order is no longer in a voidable state. Issue a credit memo to refund a captured payment.","This order cannot be voided. Only an authorized (held) payment that has not been captured can be voided; capture has already happened or the order is no longer in a voidable state. Issue a credit memo to refund a captured payment."
"This order is missing the Flitt reference and cannot be refunded online. Issue an Offline refund and reconcile with TBC Bank using the payment id from the invoice.","This order is missing the Flitt reference and cannot be refunded online. Issue an Offline refund and reconcile with TBC Bank using the payment id from the invoice."
"This payment has already been processed. Please check your orders.","This payment has already been processed. Please check your orders."
"This payment option is not available for this order.","This payment option is not available for this order."
"This will cancel the payment authorization. The order will be cancelled. Continue?","This will cancel the payment authorization. The order will be cancelled. Continue?"
"This will charge the held amount on the customer's card. Continue?","This will charge the held amount on the customer's card. Continue?"
"This will distribute the payment to configured receivers. Continue?","This will distribute the payment to configured receivers. Continue?"
Title,Title
"Total split percentages cannot exceed 100%1. Current total: %2%1.","Total split percentages cannot exceed 100%1. Current total: %2%1."
"Transaction Type","Transaction Type"
"Tropical Gold","Tropical Gold"
"URL to a logo image displayed above the card form. Leave empty to hide.","URL to a logo image displayed above the card form. Leave empty to hide."
"Unable to cancel order.","Unable to cancel order."
"Unable to confirm payment.","Unable to confirm payment."
"Unable to confirm payment. Please try again or contact support.","Unable to confirm payment. Please try again or contact support."
"Unable to connect to payment service.","Unable to connect to payment service."
"Unable to initialize payment. Please try again.","Unable to initialize payment. Please try again."
"Unable to load payment SDK.","Unable to load payment SDK."
"Unable to load payment form.","Unable to load payment form."
"Unable to reach the TBC payment gateway.","Unable to reach the TBC payment gateway."
"Unable to reach the TBC payment gateway. Please try again.","Unable to reach the TBC payment gateway. Please try again."
"Unable to redirect to payment page.","Unable to redirect to payment page."
"Unable to render payment form.","Unable to render payment form."
"Vibrant Gold","Vibrant Gold"
"Void Payment","Void Payment"
"Void failed. See shubo_tbc_payment.log for details.","Void failed. See shubo_tbc_payment.log for details."
"Wallets Only","Wallets Only"
"Your Flitt merchant ID.","Your Flitt merchant ID."
"Your Flitt payment password / secret key.","Your Flitt payment password / secret key."
"Your bank declined the payment. Please try another card or contact your bank.","Your bank declined the payment. Please try another card or contact your bank."
"Your payment is still being processed by the bank. You will receive an email confirmation shortly.","Your payment is still being processed by the bank. You will receive an email confirmation shortly."
"[dry-run] Planned TBC production cutover:","[dry-run] Planned TBC production cutover:"
"merchant-id is required and must not be empty.","merchant-id is required and must not be empty."
"secret is required and must not be empty.","secret is required and must not be empty."
"ბანკის დადასტურება ვერ მოხერხდა. სცადეთ ხელახლა.","ბანკის დადასტურება ვერ მოხერხდა. სცადეთ ხელახლა."
"ბანკმა უარყო გადახდა. სცადეთ სხვა ბარათით ან დაუკავშირდით თქვენს ბანკს.","ბანკმა უარყო გადახდა. სცადეთ სხვა ბარათით ან დაუკავშირდით თქვენს ბანკს."
"ბანკმა უარყო გადახდა. სცადეთ სხვა ბარათით.","ბანკმა უარყო გადახდა. სცადეთ სხვა ბარათით."
"გადახდა ვერ მოხერხდა. სცადეთ ხელახლა ან დაუკავშირდით მხარდაჭერას.","გადახდა ვერ მოხერხდა. სცადეთ ხელახლა ან დაუკავშირდით მხარდაჭერას."
"გადახდა ვერ მოხერხდა. სცადეთ ხელახლა.","გადახდა ვერ მოხერხდა. სცადეთ ხელახლა."
"გადახდა უკვე დამუშავებულია. შეამოწმეთ თქვენი შეკვეთები.","გადახდა უკვე დამუშავებულია. შეამოწმეთ თქვენი შეკვეთები."
"გადახდის ინფორმაცია ვერ მოიძებნა. დაუკავშირდით მხარდაჭერას.","გადახდის ინფორმაცია ვერ მოიძებნა. დაუკავშირდით მხარდაჭერას."
"გადახდის მეთოდი ამ შეკვეთისთვის არ არის ხელმისაწვდომი.","გადახდის მეთოდი ამ შეკვეთისთვის არ არის ხელმისაწვდომი."
"გადახდის სისტემა დროებით მიუწვდომელია. სცადეთ მოგვიანებით.","გადახდის სისტემა დროებით მიუწვდომელია. სცადეთ მოგვიანებით."
"გადახდის სისტემის კონფიგურაციის შეცდომა. დაუკავშირდით მხარდაჭერას.","გადახდის სისტემის კონფიგურაციის შეცდომა. დაუკავშირდით მხარდაჭერას."
"სისტემური შეცდომა. გთხოვთ, სცადოთ ცოტა ხანში ხელახლა.","სისტემური შეცდომა. გთხოვთ, სცადოთ ცოტა ხანში ხელახლა."
"სისტემური შეცდომა. სცადეთ ცოტა ხანში.","სისტემური შეცდომა. სცადეთ ცოტა ხანში."
